path_in_repo,lang,model,filename,split
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_14_f000024.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_14_f000024,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_14_f000037.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_14_f000037,valid
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_14_f000117.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_14_f000117,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_14_f000129.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_14_f000129,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_15_f000010.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_15_f000010,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_15_f000081.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_15_f000081,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_15_f000101.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_15_f000101,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_16_f000008.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_16_f000008,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_16_f000105.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_16_f000105,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_16_f000110.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_16_f000110,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_17_f000052.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_17_f000052,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_17_f000070.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_17_f000070,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_18_f000035.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_18_f000035,valid
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_20_f000011.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_20_f000011,train
fake/ko/Chatterbox Multilingual/dorothy_and_wizard_oz_20_f000021.wav,ko,Chatterbox Multilingual,dorothy_and_wizard_oz_20_f000021,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_01_f000010.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_01_f000010,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_01_f000086.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_01_f000086,valid
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_03_f000002.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_03_f000002,valid
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_05_f000097.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_05_f000097,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_06_f000008.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_06_f000008,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_06_f000038.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_06_f000038,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_07_f000031.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_07_f000031,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_07_f000085.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_07_f000085,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_09_f000104.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_09_f000104,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_10_f000085.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_10_f000085,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_10_f000105.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_10_f000105,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_10_f000123.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_10_f000123,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_11_f000040.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_11_f000040,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_11_f000077.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_11_f000077,valid
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_13_f000039.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_13_f000039,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_14_f000086.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_14_f000086,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_15_f000107.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_15_f000107,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_17_f000023.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_17_f000023,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_17_f000068.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_17_f000068,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_18_f000030.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_18_f000030,valid
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_20_f000005.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_20_f000005,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_20_f000007.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_20_f000007,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_22_f000019.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_22_f000019,valid
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_22_f000042.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_22_f000042,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_23_f000057.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_23_f000057,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_24_f000062.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_24_f000062,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_24_f000083.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_24_f000083,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_28_f000015.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_28_f000015,train
fake/ko/Chatterbox Multilingual/emerald_city_of_oz_29_f000010.wav,ko,Chatterbox Multilingual,emerald_city_of_oz_29_f000010,train
fake/ko/Chatterbox Multilingual/hunters_space_03_f000079.wav,ko,Chatterbox Multilingual,hunters_space_03_f000079,valid
fake/ko/Chatterbox Multilingual/hunters_space_04_f000056.wav,ko,Chatterbox Multilingual,hunters_space_04_f000056,train
fake/ko/Chatterbox Multilingual/hunters_space_05_f000085.wav,ko,Chatterbox Multilingual,hunters_space_05_f000085,train
fake/ko/Chatterbox Multilingual/hunters_space_06_f000016.wav,ko,Chatterbox Multilingual,hunters_space_06_f000016,train
fake/ko/Chatterbox Multilingual/hunters_space_06_f000032.wav,ko,Chatterbox Multilingual,hunters_space_06_f000032,valid
fake/ko/Chatterbox Multilingual/hunters_space_06_f000092.wav,ko,Chatterbox Multilingual,hunters_space_06_f000092,train
fake/ko/Chatterbox Multilingual/hunters_space_06_f000105.wav,ko,Chatterbox Multilingual,hunters_space_06_f000105,valid
fake/ko/Chatterbox Multilingual/hunters_space_07_f000069.wav,ko,Chatterbox Multilingual,hunters_space_07_f000069,valid
fake/ko/Chatterbox Multilingual/hunters_space_08_f000029.wav,ko,Chatterbox Multilingual,hunters_space_08_f000029,train
fake/ko/Chatterbox Multilingual/hunters_space_09_f000008.wav,ko,Chatterbox Multilingual,hunters_space_09_f000008,train
fake/ko/Chatterbox Multilingual/hunters_space_11_f000017.wav,ko,Chatterbox Multilingual,hunters_space_11_f000017,train
fake/ko/Chatterbox Multilingual/hunters_space_11_f000021.wav,ko,Chatterbox Multilingual,hunters_space_11_f000021,train
fake/ko/Chatterbox Multilingual/hunters_space_12_f000026.wav,ko,Chatterbox Multilingual,hunters_space_12_f000026,train
fake/ko/Chatterbox Multilingual/hunters_space_12_f000067.wav,ko,Chatterbox Multilingual,hunters_space_12_f000067,train
fake/ko/Chatterbox Multilingual/hunters_space_13_f000050.wav,ko,Chatterbox Multilingual,hunters_space_13_f000050,train
fake/ko/Chatterbox Multilingual/hunters_space_13_f000067.wav,ko,Chatterbox Multilingual,hunters_space_13_f000067,train
fake/ko/Chatterbox Multilingual/hunters_space_13_f000076.wav,ko,Chatterbox Multilingual,hunters_space_13_f000076,valid
fake/ko/Chatterbox Multilingual/hunters_space_16_f000053.wav,ko,Chatterbox Multilingual,hunters_space_16_f000053,valid
fake/ko/Chatterbox Multilingual/hunters_space_16_f000083.wav,ko,Chatterbox Multilingual,hunters_space_16_f000083,train
fake/ko/Chatterbox Multilingual/hunters_space_17_f000022.wav,ko,Chatterbox Multilingual,hunters_space_17_f000022,train
fake/ko/Chatterbox Multilingual/hunters_space_19_f000038.wav,ko,Chatterbox Multilingual,hunters_space_19_f000038,train
fake/ko/Chatterbox Multilingual/jane_eyre_02_f000031.wav,ko,Chatterbox Multilingual,jane_eyre_02_f000031,train
fake/ko/Chatterbox Multilingual/jane_eyre_02_f000077.wav,ko,Chatterbox Multilingual,jane_eyre_02_f000077,train
fake/ko/Chatterbox Multilingual/jane_eyre_02_f000134.wav,ko,Chatterbox Multilingual,jane_eyre_02_f000134,valid
fake/ko/Chatterbox Multilingual/jane_eyre_03_f000157.wav,ko,Chatterbox Multilingual,jane_eyre_03_f000157,train
fake/ko/Chatterbox Multilingual/jane_eyre_04_f000050.wav,ko,Chatterbox Multilingual,jane_eyre_04_f000050,train
fake/ko/Chatterbox Multilingual/jane_eyre_04_f000249.wav,ko,Chatterbox Multilingual,jane_eyre_04_f000249,train
fake/ko/Chatterbox Multilingual/jane_eyre_05_f000019.wav,ko,Chatterbox Multilingual,jane_eyre_05_f000019,train
fake/ko/Chatterbox Multilingual/jane_eyre_05_f000029.wav,ko,Chatterbox Multilingual,jane_eyre_05_f000029,train
fake/ko/Chatterbox Multilingual/jane_eyre_05_f000036.wav,ko,Chatterbox Multilingual,jane_eyre_05_f000036,train
fake/ko/Chatterbox Multilingual/jane_eyre_05_f000158.wav,ko,Chatterbox Multilingual,jane_eyre_05_f000158,train
fake/ko/Chatterbox Multilingual/jane_eyre_05_f000208.wav,ko,Chatterbox Multilingual,jane_eyre_05_f000208,train
fake/ko/Chatterbox Multilingual/jane_eyre_06_f000091.wav,ko,Chatterbox Multilingual,jane_eyre_06_f000091,train
fake/ko/Chatterbox Multilingual/jane_eyre_06_f000128.wav,ko,Chatterbox Multilingual,jane_eyre_06_f000128,train
fake/ko/Chatterbox Multilingual/jane_eyre_07_f000090.wav,ko,Chatterbox Multilingual,jane_eyre_07_f000090,train
fake/ko/Chatterbox Multilingual/jane_eyre_08_f000015.wav,ko,Chatterbox Multilingual,jane_eyre_08_f000015,valid
fake/ko/Chatterbox Multilingual/jane_eyre_08_f000041.wav,ko,Chatterbox Multilingual,jane_eyre_08_f000041,valid
fake/ko/Chatterbox Multilingual/jane_eyre_08_f000060.wav,ko,Chatterbox Multilingual,jane_eyre_08_f000060,train
fake/ko/Chatterbox Multilingual/jane_eyre_08_f000130.wav,ko,Chatterbox Multilingual,jane_eyre_08_f000130,valid
fake/ko/Chatterbox Multilingual/jane_eyre_09_f000025.wav,ko,Chatterbox Multilingual,jane_eyre_09_f000025,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000070.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000070,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000072.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000072,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000116.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000116,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000166.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000166,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000193.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000193,train
fake/ko/Chatterbox Multilingual/jane_eyre_10_f000210.wav,ko,Chatterbox Multilingual,jane_eyre_10_f000210,train
fake/ko/Chatterbox Multilingual/jane_eyre_11_f000106.wav,ko,Chatterbox Multilingual,jane_eyre_11_f000106,train
fake/ko/Chatterbox Multilingual/jane_eyre_11_f000199.wav,ko,Chatterbox Multilingual,jane_eyre_11_f000199,train
fake/ko/Chatterbox Multilingual/jane_eyre_11_f000242.wav,ko,Chatterbox Multilingual,jane_eyre_11_f000242,train
fake/ko/Chatterbox Multilingual/jane_eyre_11_f000317.wav,ko,Chatterbox Multilingual,jane_eyre_11_f000317,train
fake/ko/Chatterbox Multilingual/jane_eyre_11_f000331.wav,ko,Chatterbox Multilingual,jane_eyre_11_f000331,train
fake/ko/Chatterbox Multilingual/jane_eyre_12_f000181.wav,ko,Chatterbox Multilingual,jane_eyre_12_f000181,train
fake/ko/Chatterbox Multilingual/jane_eyre_13_f000024.wav,ko,Chatterbox Multilingual,jane_eyre_13_f000024,train
fake/ko/Chatterbox Multilingual/jane_eyre_13_f000065.wav,ko,Chatterbox Multilingual,jane_eyre_13_f000065,train
fake/ko/Chatterbox Multilingual/jane_eyre_13_f000072.wav,ko,Chatterbox Multilingual,jane_eyre_13_f000072,train
fake/ko/Chatterbox Multilingual/jane_eyre_14_f000046.wav,ko,Chatterbox Multilingual,jane_eyre_14_f000046,train
fake/ko/Chatterbox Multilingual/jane_eyre_14_f000199.wav,ko,Chatterbox Multilingual,jane_eyre_14_f000199,train
fake/ko/Chatterbox Multilingual/jane_eyre_14_f000201.wav,ko,Chatterbox Multilingual,jane_eyre_14_f000201,train
fake/ko/Chatterbox Multilingual/jane_eyre_14_f000222.wav,ko,Chatterbox Multilingual,jane_eyre_14_f000222,train
fake/ko/Chatterbox Multilingual/jane_eyre_15_f000005.wav,ko,Chatterbox Multilingual,jane_eyre_15_f000005,train
fake/ko/Chatterbox Multilingual/jane_eyre_15_f000027.wav,ko,Chatterbox Multilingual,jane_eyre_15_f000027,train
fake/ko/Chatterbox Multilingual/jane_eyre_15_f000210.wav,ko,Chatterbox Multilingual,jane_eyre_15_f000210,train
fake/ko/Chatterbox Multilingual/jane_eyre_16_f000019.wav,ko,Chatterbox Multilingual,jane_eyre_16_f000019,valid
fake/ko/Chatterbox Multilingual/jane_eyre_16_f000040.wav,ko,Chatterbox Multilingual,jane_eyre_16_f000040,train
fake/ko/Chatterbox Multilingual/jane_eyre_16_f000199.wav,ko,Chatterbox Multilingual,jane_eyre_16_f000199,train
fake/ko/Chatterbox Multilingual/jane_eyre_17_f000120.wav,ko,Chatterbox Multilingual,jane_eyre_17_f000120,train
fake/ko/Chatterbox Multilingual/jane_eyre_17_f000275.wav,ko,Chatterbox Multilingual,jane_eyre_17_f000275,train
fake/ko/Chatterbox Multilingual/jane_eyre_17_f000422.wav,ko,Chatterbox Multilingual,jane_eyre_17_f000422,train
fake/ko/Chatterbox Multilingual/jane_eyre_17_f000430.wav,ko,Chatterbox Multilingual,jane_eyre_17_f000430,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000039.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000039,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000109.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000109,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000134.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000134,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000156.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000156,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000190.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000190,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000198.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000198,train
fake/ko/Chatterbox Multilingual/jane_eyre_18_f000252.wav,ko,Chatterbox Multilingual,jane_eyre_18_f000252,train
fake/ko/Chatterbox Multilingual/jane_eyre_19_f000015.wav,ko,Chatterbox Multilingual,jane_eyre_19_f000015,train
fake/ko/Chatterbox Multilingual/jane_eyre_19_f000088.wav,ko,Chatterbox Multilingual,jane_eyre_19_f000088,train
fake/ko/Chatterbox Multilingual/jane_eyre_19_f000098.wav,ko,Chatterbox Multilingual,jane_eyre_19_f000098,train
fake/ko/Chatterbox Multilingual/jane_eyre_19_f000109.wav,ko,Chatterbox Multilingual,jane_eyre_19_f000109,train
fake/ko/Chatterbox Multilingual/jane_eyre_19_f000144.wav,ko,Chatterbox Multilingual,jane_eyre_19_f000144,train
fake/ko/Chatterbox Multilingual/jane_eyre_20_f000045.wav,ko,Chatterbox Multilingual,jane_eyre_20_f000045,train
fake/ko/Chatterbox Multilingual/jane_eyre_20_f000250.wav,ko,Chatterbox Multilingual,jane_eyre_20_f000250,valid
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000018.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000018,train
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000213.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000213,train
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000234.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000234,valid
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000309.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000309,train
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000353.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000353,train
fake/ko/Chatterbox Multilingual/jane_eyre_21_f000451.wav,ko,Chatterbox Multilingual,jane_eyre_21_f000451,train
fake/ko/Chatterbox Multilingual/jane_eyre_22_f000035.wav,ko,Chatterbox Multilingual,jane_eyre_22_f000035,train
fake/ko/Chatterbox Multilingual/jane_eyre_22_f000046.wav,ko,Chatterbox Multilingual,jane_eyre_22_f000046,train
fake/ko/Chatterbox Multilingual/jane_eyre_23_f000079.wav,ko,Chatterbox Multilingual,jane_eyre_23_f000079,train
fake/ko/Chatterbox Multilingual/jane_eyre_24_f000021.wav,ko,Chatterbox Multilingual,jane_eyre_24_f000021,train
fake/ko/Chatterbox Multilingual/jane_eyre_24_f000197.wav,ko,Chatterbox Multilingual,jane_eyre_24_f000197,train
fake/ko/Chatterbox Multilingual/jane_eyre_24_f000253.wav,ko,Chatterbox Multilingual,jane_eyre_24_f000253,train
fake/ko/Chatterbox Multilingual/jane_eyre_24_f000289.wav,ko,Chatterbox Multilingual,jane_eyre_24_f000289,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000017.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000017,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000023.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000023,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000042.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000042,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000053.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000053,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000062.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000062,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000077.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000077,train
fake/ko/Chatterbox Multilingual/jane_eyre_25_f000190.wav,ko,Chatterbox Multilingual,jane_eyre_25_f000190,valid
fake/ko/Chatterbox Multilingual/jane_eyre_26_f000096.wav,ko,Chatterbox Multilingual,jane_eyre_26_f000096,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000032.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000032,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000055.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000055,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000073.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000073,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000110.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000110,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000209.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000209,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000322.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000322,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000368.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000368,train
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000412.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000412,valid
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000435.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000435,valid
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000493.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000493,valid
fake/ko/Chatterbox Multilingual/jane_eyre_27_f000498.wav,ko,Chatterbox Multilingual,jane_eyre_27_f000498,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000005.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000005,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000026.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000026,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000139.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000139,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000216.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000216,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000223.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000223,valid
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000258.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000258,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000330.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000330,train
fake/ko/Chatterbox Multilingual/jane_eyre_28_f000359.wav,ko,Chatterbox Multilingual,jane_eyre_28_f000359,train
fake/ko/Chatterbox Multilingual/jane_eyre_29_f000032.wav,ko,Chatterbox Multilingual,jane_eyre_29_f000032,train
fake/ko/Chatterbox Multilingual/jane_eyre_29_f000038.wav,ko,Chatterbox Multilingual,jane_eyre_29_f000038,train
fake/ko/Chatterbox Multilingual/jane_eyre_29_f000133.wav,ko,Chatterbox Multilingual,jane_eyre_29_f000133,train
fake/ko/Chatterbox Multilingual/jane_eyre_29_f000159.wav,ko,Chatterbox Multilingual,jane_eyre_29_f000159,train
fake/ko/Chatterbox Multilingual/jane_eyre_29_f000209.wav,ko,Chatterbox Multilingual,jane_eyre_29_f000209,train
fake/ko/Chatterbox Multilingual/jane_eyre_30_f000040.wav,ko,Chatterbox Multilingual,jane_eyre_30_f000040,train
fake/ko/Chatterbox Multilingual/jane_eyre_30_f000058.wav,ko,Chatterbox Multilingual,jane_eyre_30_f000058,train
fake/ko/Chatterbox Multilingual/jane_eyre_30_f000094.wav,ko,Chatterbox Multilingual,jane_eyre_30_f000094,train
fake/ko/Chatterbox Multilingual/jane_eyre_30_f000160.wav,ko,Chatterbox Multilingual,jane_eyre_30_f000160,train
fake/ko/Chatterbox Multilingual/jane_eyre_30_f000175.wav,ko,Chatterbox Multilingual,jane_eyre_30_f000175,train
fake/ko/Chatterbox Multilingual/jane_eyre_31_f000010.wav,ko,Chatterbox Multilingual,jane_eyre_31_f000010,train
fake/ko/Chatterbox Multilingual/jane_eyre_31_f000060.wav,ko,Chatterbox Multilingual,jane_eyre_31_f000060,train
fake/ko/Chatterbox Multilingual/jane_eyre_31_f000061.wav,ko,Chatterbox Multilingual,jane_eyre_31_f000061,train
fake/ko/Chatterbox Multilingual/jane_eyre_32_f000014.wav,ko,Chatterbox Multilingual,jane_eyre_32_f000014,valid
fake/ko/Chatterbox Multilingual/jane_eyre_32_f000050.wav,ko,Chatterbox Multilingual,jane_eyre_32_f000050,train
fake/ko/Chatterbox Multilingual/jane_eyre_32_f000109.wav,ko,Chatterbox Multilingual,jane_eyre_32_f000109,train
fake/ko/Chatterbox Multilingual/jane_eyre_32_f000200.wav,ko,Chatterbox Multilingual,jane_eyre_32_f000200,train
fake/ko/Chatterbox Multilingual/jane_eyre_33_f000037.wav,ko,Chatterbox Multilingual,jane_eyre_33_f000037,train
fake/ko/Chatterbox Multilingual/jane_eyre_33_f000089.wav,ko,Chatterbox Multilingual,jane_eyre_33_f000089,train
fake/ko/Chatterbox Multilingual/jane_eyre_33_f000090.wav,ko,Chatterbox Multilingual,jane_eyre_33_f000090,train
